NAME_OLD,NAME_NEW_legacy,proposed_current,category,notes,sql_dtype,series
ICO,BMF_PERS_NAME_ICO,ICO,identity,,VARCHAR,
GROUP,BMF_GROUP_EXEMPT_NUM,GROUP,identity,,CHAR(4),
SUBSECTION,BMF_SUBSECTION_CODE,SUBSECTION,identity,,CHAR(2),
AFFILIATION,BMF_AFFILIATION_CODE,AFFILIATION,identity,,,
CLASSIFICATION,BMF_CLASSIFICATION_CODE,CLASSIFICATION,identity,,CHAR(1),
RULING,BMF_RULING_DATE,RULING,identity,,,
DEDUCTIBILITY,BMF_DEDUCTIBILITY_CODE,DEDUCTIBILITY,identity,,,
FOUNDATION,BMF_FOUNDATION_CODE,FOUNDATION,identity,,,
ACTIVITY,BMF_ACTIVITY_CODE,ACTIVITY,identity,,,
ORGANIZATION,BMF_ORGANIZATION_CODE,ORGANIZATION,identity,,,
STATUS,BMF_STATUS_CODE,STATUS,identity,,,
TAX_PERIOD,F990_TAX_PERIOD_END_DATE,TAX_PERIOD,identity,,,
ASSET_CD,BMF_ASSET_CODE,ASSET_CD,identity,,,
INCOME_CD,BMF_INCOME_CODE,INCOME_CD,identity,,,
FILING_REQ_CD,BMF_FILING_REQ_CODE,FILING_REQ_CD,identity,,,
PF_FILING_REQ_CD,BMF_PF_FILING_REQ_CODE,PF_FILING_REQ_CD,identity,,,
ACCT_PD,BMF_ACCT_PD_CODE,ACCT_PD,identity,,,
ASSET_AMT,F990_TOTAL_ASSETS,ASSET_AMT,identity,,,
INCOME_AMT,F990_TOTAL_INCOME,INCOME_AMT,identity,,,
REVENUE_AMT,F990_TOTAL_REVENUE,REVENUE_AMT,identity,,,
NTEE_CD,BMF_NTEE,NTEE_CD,identity,,,
SORT_NAME,BMF_ORG_NAME_SEC,SORT_NAME,identity,,,
CASSETS,F990_TOTAL_ASSETS_BOOKVALUE,,drop,NCCS-curated assets book value,,
LEVEL1,NCCS_LEVEL_1,,drop,NCCS hierarchical level,,
LEVEL2,NCCS_LEVEL_2,,drop,NCCS hierarchical level,,
LEVEL3,NCCS_LEVEL_3,,drop,NCCS hierarchical level,,
LEVEL4,NCCS_LEVEL_4,,drop,NCCS hierarchical level,,
MAJGRPB,NCCS_NTEE_MAJOR_GROUP_B,,drop,NCCS NTEE major group variant,,
NTEECC,BMF_NTEE,NTEE_CD,rename,NTEE Core Code; current pipeline expects NTEE_CD,,
SUBSECCD,BMF_SUBSECTION_CODE,SUBSECTION,rename,Subsection code (IRC 501(c) paragraph),,
FNDNCD,BMF_FOUNDATION_CODE,FOUNDATION,rename,Foundation code (Type of Foundation),,
FNDCD,BMF_FOUNDATION_CODE,FOUNDATION,rename,Foundation code variant spelling,,
GEN,BMF_GROUP_EXEMPT_NUM,GROUP,rename,Group Exemption Number; legacy 4-char alias for GROUP,,
ACCPER,BMF_ACCT_PD_CODE,ACCT_PD,rename,Accounting period (fiscal year-end month),,
ASSETS,F990_TOTAL_ASSETS,ASSET_AMT,rename,Total assets dollar amount,,
FRCD,BMF_FILING_REQ_CODE,FILING_REQ_CD,rename,Filing requirement code,,
INCOME,F990_TOTAL_INCOME,INCOME_AMT,rename,Total income dollar amount,,
CITY,BMF_ADDR_CITY,CITY,identity,,,
ADDRESS,BMF_ADDR,STREET,ambiguous,"Legacy single-line address; verify whether it's pure street or full street+city — may need parsing. If full address, may need to split.",,
ZIP,BMF_ADDR_ZIP,ZIP,identity,,,
ZIP5,BMF_ADDR_ZIP5,ZIP,rename,5-digit ZIP only; current ZIP transform handles ZIP5/ZIP4 internally,,
TAXPER,F990_TAX_PERIOD_END_DATE,TAX_PERIOD,rename,Tax period end YYYYMM,,
STATE,BMF_ADDR_STATE,STATE,identity,,,
STREET,BMF_ADDR_STREET,STREET,identity,,,
RULEDATE,BMF_RULING_DATE,RULING,rename,Ruling/determination date YYYYMM,,
ACTIV1,BMF_ACTIVITY_CODE,ACTIVITY,rename,Activity codes; legacy ACTIV1 may be first of three 3-digit codes — verify whether ACTIV2/ACTIV3 also exist in legacy files and need concatenation,,
ORGCD,BMF_ORGANIZATION_CODE,ORGANIZATION,rename,Organization type code (Corp/Trust/Assoc/etc),,
SEC_NAME,BMF_ORG_NAME_SEC,SORT_NAME,rename,Secondary/sort name (DBA),,
NAME,BMF_ORG_NAME,NAME,identity,,,
NTEEFINAL,NCCS_NTEE,,drop,NCCS-curated NTEE; current pipeline uses raw NTEE_CD as input. Could be considered as override source later but out of scope for harmonization.,,
EIN,F990_ORG_EIN,EIN,identity,,,
CFILER,NCCS_24MNTH_990_FILED,,drop,NCCS 24-month 990 filed flag — Core file derivation,,
CFINSRC,NCCS_FINANCIAL_DATA_SOURCE,,drop,NCCS financial data source flag,,
CTAXPER,NCCS_TAX_PERIOD_END_DATE,,drop,NCCS-selected tax period (Core file),,
CTOTREV,NCCS_TOTAL_REVENUE,,drop,NCCS-selected total revenue (Core file),,
CZFILER,NCCS_24MNTH_NOINCOME_990_FILED,,drop,NCCS 24-month no-income 990 filed flag (duplicate of ZFILER),,
FILER,NCCS_24MNTH_ALL990_FILED,,drop,NCCS 24-month all-990 filed flag,,
IRS990N,NCCS_990N_FILED,,drop,990-N (e-Postcard) filed flag,,
OUTNCCS,NCCS_OUT_OF_SCOPE,,drop,NCCS out-of-scope flag (foreign/territory/etc),,
OUTREAS,NCCS_OUT_OF_SCOPE_REASON,,drop,NCCS out-of-scope reason,,
RANDNUM,NCCS_RANDOM_NUMBER,,drop,NCCS random number for sampling,,
ZFILER,NCCS_24MNTH_NOINCOME_990_FILED,,drop,NCCS 24-month no-income 990 filed flag,,
NTEE1,NCCS_NTEE_MAJOR_GROUP,,drop,NTEE major group letter; derived in current pipeline,,
NAICS,BMF_NAICS,,drop,NAICS code is derived in current pipeline from NTEE; legacy column not used as input,,
NTEECONF,NCCS_NTEE_CONFIDENCE,,drop,NCCS NTEE confidence flag (A/B/C); not a raw IRS field,,
NTEEFINAL1,NCCS_NTEEFINAL_ALT,,drop,Alternate NCCS NTEE classification,,
NTEESRC,NCCS_NTEE_SOURCE,,drop,NCCS NTEE source provenance,,
NTMAJ10,NCCS_NTEE_MAJOR_GROUP_10,,drop,NCCS 10-category collapsed NTEE,,
NTMAJ5,NCCS_NTEE_SUBSECTOR_5,,drop,NCCS 5-category collapsed NTEE,,
NTMAJ12,NCCS_NTEE_MAJOR_GROUP_12,,drop,NCCS 12-category collapsed NTEE,,
